id,lon,lat,classification,,custom_site_id
36,84.21382,28.78617,MR_H2 gable roof,,wh1zj5ny
37,86.83882,27.96117,MR_H2 gable roof,,wh1zj5pp
38,87.58882,27.73617,MR_H2 gable roof,,wh1zj5pr
39,83.31382,28.93617,MR_H2 gable roof,,wh1zj5px
40,81.96382,30.06117,MR_H2 gable roof,,wh1zj4zy
41,82.93882,29.08617,MR_H2 gable roof,,wh1zj5py
42,80.98882,28.78617,MR_H2 gable roof,,wh1zj6b1
43,84.73882,28.48617,MR_H2 gable roof,,wh1zj6bc
44,87.06382,27.73617,MR_H2 gable roof,,wh1zj6c8
45,83.16382,29.23617,MR_H2 gable roof,,wh1zj6d4
46,84.06382,28.41117,MR_H2 gable roof,,wh1zj6d6
47,82.63882,29.76117,MR_H2 gable roof,,wh1zj66x
48,83.46382,29.08617,MR_H2 gable roof,,wh1zj36f
49,83.98882,28.41117,MR_H2 gable roof,,wh1zj35p
50,85.03882,28.33617,MR_H2 gable roof,,wh1zj370
51,87.06382,27.66117,MR_H2 gable roof,,wh1zj3e1
52,81.88882,30.06117,MR_H2 gable roof,,wh1zj3gk
53,83.91382,29.31117,MR_H2 gable roof,,wh1zj3et
54,83.23882,29.01117,MR_H2 gable roof,,wh1zj3hh
55,83.98882,28.78617,RCC_H4 gaqble roof,,wh1zj3hj
56,82.11382,30.13617,RCC_H4 gaqble roof,,wh1zj3sh
57,83.68882,28.93617,RCC_H4 gaqble roof,,wh1zj6h3
58,83.91382,28.86117,RCC_H4 gaqble roof,,wh1zj3hk
59,83.91382,28.71117,RCC_H4 gaqble roof,,wh1zj3kk
60,83.91382,28.48617,RCC_H4 gaqble roof,,wh1zj3hd
61,81.13882,29.83617,RCC_H4 gaqble roof,,wh1zj6hf
62,83.08882,29.23617,RCC_H4 gaqble roof,,wh1zj6jw
63,82.93882,28.86117,RCC_H4 gaqble roof,,wh1zj3jf
64,84.06382,29.16117,RCC_H4 gaqble roof,,wh1zj3np
65,83.23882,28.93617,RCC_H4 gaqble roof,,wh1zj3wh
66,84.58882,27.43617,RCC_H4 gaqble roof,,wh1zj3wx
67,87.13882,27.66117,RCC_H4 gaqble roof,,wh1zj6qd
68,81.81382,30.28617,RCC_H4 gaqble roof,,wh1zj3zp
69,82.78882,29.08617,RCC_H4 gaqble roof,,wh1zj2z2
70,82.63882,27.73617,RCC_H4 gaqble roof,,wh1zj6ps
71,82.71382,29.16117,RCC_H4 gaqble roof,,wh1yvw8p
72,84.51382,28.48617,RCC_H4 gaqble roof,,wh1zjd0q
73,83.01382,29.16117,RCC_H4 gaqble roof,,wh1zj82s
74,81.36382,28.56117,RCC_H4 gaqble roof,,wh1zjd0u
75,83.23882,29.23617,RCC_H4 gaqble roof,,wh1zjd0y
76,84.13882,29.23617,RCC_H4 gaqble roof,,wh1yvw35
77,82.03882,30.21117,RCC_H4 gaqble roof,,wh1yvx15
78,83.01382,29.01117,RCC_H4 gaqble roof,,wh1zjd15
79,82.63882,29.31117,RCC_H3 flat roof,,wh1yvw3e
80,83.98882,29.08617,RCC_H3 flat roof,,wh1yvw3x
81,88.03882,27.58617,RCC_H3 flat roof,,wh1yvw9c
82,81.96382,30.28617,RCC_H3 flat roof,,wh1zjd1z
83,82.78882,29.23617,RCC_H3 flat roof,,wh1yvw6q
84,83.31382,29.01117,RCC_H3 flat roof,,wh1yvw6x
85,84.96382,28.41117,RCC_H3 flat roof,,wh1yvw69
86,82.78882,29.31117,RCC_H3 flat roof,,wh1yvwf9
87,83.46382,29.01117,RCC_H3 flat roof,,wh1yvw4z
88,81.51382,29.98617,RCC_H3 flat roof,,wh1yvwdc
89,83.16382,29.53617,RCC_H3 flat roof,,wh1zj9fc
90,83.61382,28.93617,RCC_H3 flat roof,,wh1zj9fz
91,87.13882,27.73617,RCC_H3 flat roof,,wh1yvw5p
92,81.43882,30.06117,RCC_H3 flat roof,,wh1yvwej
93,83.91382,28.41117,RCC_H3 flat roof,,wh1zj9ej
94,81.51382,30.28617,RCC_H3 flat roof,,wh1zj9ep
95,82.18882,29.98617,RCC_H3 flat roof,,wh1yvwew
96,82.56382,29.16117,RCC_H3 flat roof,,wh1zj9eu
97,83.68882,28.63617,RCC_H3 flat roof,,wh1zj9ev
98,87.58882,27.81117,RCC_H3 flat roof,,wh1zj9ev
99,83.08882,29.31117,RCC_H3 flat roof,,wh1zj9h8
100,87.51382,27.58617,RCC_H3 flat roof,,wh1yvwhy
101,82.93882,29.61117,RCC_H3 flat roof,,wh1zj8uz
102,84.28882,28.48617,RCC_H3 flat roof,,wh1zj9sf
103,87.13882,27.81117,RCC_H3 flat roof,,wh1zj9sv
104,81.58882,30.13617,RCC_H3 flat roof,,wh1zj8uz
105,81.96382,30.13617,RCC_H3 flat roof,,wh1yv9th
106,81.66382,30.13617,RCC_H3 flat roof,,wh1zj9jh
107,81.58882,28.33617,RCC_H3 flat roof,,wh1zj8vr
108,87.21382,27.73617,RCC_H1 flat roof,,wh1zj9jm
109,81.43882,28.56117,RCC_H1 flat roof,,wh1zj9m2
110,82.86382,29.23617,RCC_H1 flat roof,,wh1zj9m6
111,83.38882,29.01117,RCC_H1 flat roof,,wh1zj9mk
112,84.58882,28.41117,RCC_H1 flat roof,,wh1zj9tk
113,80.38882,29.01117,RCC_H1 flat roof,,wh1zj9vr
114,81.96382,28.11117,RCC_H1 flat roof,,wh1zj9md
115,85.86382,28.11117,RCC_H1 flat roof,,wh1yvdtg
116,81.28882,30.06117,RCC_H1 flat roof,,wh1yvsvg
117,82.86382,29.61117,RCC_H1 flat roof,,wh1zj9mz
118,83.98882,29.31117,RCC_H1 flat roof,,wh1zj9q4
119,83.01382,29.31117,RCC_H1 flat roof,,wh1ytxqw
120,83.46382,28.93617,RCC_H1 flat roof,,wh1yv8nt
121,86.76382,27.96117,RCC_H1 flat roof,,wh1yvenw
122,85.71382,28.18617,RCC_H1 flat roof,,wh1yvwnx
123,84.66382,28.33617,RCC_H1 flat roof,,wh1yttw8
124,82.86382,29.31117,RCC_H1 flat roof,,wh1ytxw8
125,82.63882,29.16117,RCC_H1 flat roof,,wh1zj9qx
126,84.13882,28.71117,RCC_H1 flat roof,,wh1yvwnu
127,83.76382,28.71117,RCC_H1 flat roof,,wh1zj9nz
128,87.06382,27.58617,RCC_H1 flat roof,,wh1yttrn
129,82.86382,29.38617,RCC_H1 flat roof,,wh1yvwpp
130,86.83882,27.81117,RCC_H1 flat roof,,wh1yttrk
131,80.83882,28.86117,RCC_H1 flat roof,,wh1zj9xk
132,83.08882,29.01117,RCC_H1 flat roof,,wh1zj9xm
133,83.38882,29.08617,RCC_H1 flat roof,,wh1ytxx8
134,81.43882,28.48617,Timber,,wh1ytxxb
135,81.51382,30.36117,Timber,,wh1yvwpg
136,84.06382,29.23617,Timber,,wh1ytxxf
137,82.78882,29.16117,Timber,,wh1ytxxg
138,84.21382,28.41117,Timber,,wh1zj9pu
139,80.76382,28.86117,Timber,,wh1zjdrc
140,83.91382,28.78617,Timber,,wh1ytz84
141,83.31382,29.16117,Timber,,wh1zjbbp
142,81.58882,29.76117,Timber,,wh1zjc04
143,82.71382,27.73617,Timber,,wh1zjc0h
144,80.98882,28.86117,Timber,,wh1ytv26
145,81.96382,30.21117,Timber,,wh1ytv2k
146,85.11382,28.41117,Timber,,wh1ytv2q
147,81.36382,29.83617,Timber,,wh1ytz2q
148,83.76382,28.93617,Timber,,wh1zjbbr
149,83.01382,29.53617,Timber,,wh1zjc02
150,81.73882,29.91117,Timber,,wh1zjc0k
151,87.43882,27.66117,Timber,,wh1zjcbm
152,88.03882,27.51117,Timber,,wh1zjf06
153,81.73882,30.13617,Timber,,wh1ytv88
154,83.53882,28.93617,Timber,,wh1ytv8s
155,86.53882,27.73617,Timber,,wh1ytz0e
156,82.33882,29.98617,Timber,,wh1ytz2t
157,81.88882,29.46117,Timber,,wh1ytz2u
158,86.61382,27.96117,Timber,,wh1ytz2v
159,86.91382,27.66117,Timber,,wh1ytz2z
160,83.31382,29.46117,RCC_H2 gable roof,,wh1ytz8b
161,83.31382,29.23617,RCC_H2 gable roof,,wh1yvv2y
162,83.53882,29.08617,RCC_H2 gable roof,,wh1zjf8c
163,80.68882,28.93617,RCC_H2 gable roof,,wh1ytz8b
164,83.53882,29.01117,RCC_H2 gable roof,,wh1ytz1j
165,81.13882,28.78617,RCC_H2 gable roof,,wh1ytz1n
166,83.98882,28.48617,RCC_H1 flat roof,,wh1ytz30
167,83.23882,29.38617,RCC_H1 flat roof,,wh1ytz3n
168,83.01382,29.08617,RCC_H1 flat roof,,wh1ytz90
169,83.31382,28.71117,RCC_H1 flat roof,,wh1yvg10
170,86.91382,27.73617,RCC_H1 flat roof,,wh1zjccp
171,83.16382,29.31117,RCC_H1 flat roof,,wh1zjf9h
172,80.61382,28.93617,RCC_H1 flat roof,,wh1ytz1j
173,83.91382,29.01117,RCC_H1 flat roof,,wh1ytz30
174,82.03882,30.28617,RCC_H1 flat roof,,wh1ytz3n
175,83.38882,29.31117,RCC_H1 flat roof,,wh1ytz90
176,80.68882,28.86117,RCC_H3 flat roof,,wh1ytz94
177,83.46382,28.71117,RCC_H3 flat roof,,wh1yvv1j
178,84.13882,28.41117,RCC_H3 flat roof,,wh1zjf91
179,83.08882,29.16117,RCC_H3 flat roof,,wh1yvv1m
180,84.13882,28.78617,RCC_H3 flat roof,,wh1ytz3k
181,85.11382,28.33617,RCC_H3 flat roof,,wh1ytz97
182,84.06382,29.01117,RCC_H3 flat roof,,wh1ytz9m
183,83.01382,29.61117,RCC_H3 flat roof,,wh1zjf1k
184,86.83882,27.73617,RCC_H3 flat roof,,wh1ytz1t
185,84.36382,28.78617,RCC_H3 flat roof,,wh1ytz3t
186,84.13882,28.56117,MR_H1 flat roof,,wh1ytz3w
187,83.16382,29.01117,MR_H1 flat roof,,wh1ytz98
188,83.01382,29.23617,MR_H1 flat roof,,wh1ytz9e
189,82.86382,28.86117,MR_H1 flat roof,,wh1zjc3w
190,85.03882,28.56117,MR_H1 flat roof,,wh1zjc3x
191,83.31382,28.78617,MR_H1 flat roof,,wh1ytz3u
192,81.88882,28.18617,MR_H1 flat roof,,wh1zjc9u
193,83.23882,29.31117,MR_H2 gable roof,,wh1zjccf
194,84.13882,29.16117,MR_H2 gable roof,,wh1zjccg
195,84.21382,28.78617,MR_H2 gable roof,,wh1zjccg
196,86.83882,27.96117,MR_H2 gable roof,,wh1ytz6j
197,87.58882,27.73617,MR_H2 gable roof,,wh1ytz6n
198,83.31382,28.93617,MR_H2 gable roof,,wh1ytzd5
199,81.96382,30.06117,MR_H2 gable roof,,wh1ytzdj
200,82.93882,29.08617,MR_H2 gable roof,,wh1ytzdp
201,80.98882,28.78617,MR_H2 gable roof,,wh1ytzf4
202,84.73882,28.48617,MR_H2 gable roof,,wh1zjc6n
203,87.06382,27.73617,MR_H2 gable roof,,wh1yvy6h
204,83.16382,29.23617,MR_H2 gable roof,,wh1zjc4n
205,84.06382,28.41117,MR_H2 gable roof,,wh1zjcfp
206,82.63882,29.76117,MR_H2 gable roof,,wh1ytz6h
207,83.46382,29.08617,MR_H2 gable roof,,wh1ytzd4
208,83.98882,28.41117,MR_H2 gable roof,,wh1yvc4n
209,85.03882,28.33617,MR_H2 gable roof,,wh1zjb6h
210,87.06382,27.66117,MR_H2 gable roof,,wh1zjcd5
211,81.88882,30.06117,MR_H2 gable roof,,wh1zjcdh
212,83.91382,29.31117,MR_H2 gable roof,,wh1zjf41
213,83.23882,29.01117,MR_H2 gable roof,,wh1yvzfr
214,83.98882,28.78617,RCC_H4 gaqble roof,,wh1zjbf2
215,82.11382,30.13617,RCC_H4 gaqble roof,,wh1zjc46
216,83.68882,28.93617,RCC_H4 gaqble roof,,wh1zjc4q
217,83.91382,28.86117,RCC_H4 gaqble roof,,wh1zjf42
218,83.91382,28.71117,RCC_H4 gaqble roof,,wh1ytz66
219,83.91382,28.48617,RCC_H4 gaqble roof,,wh1ytz6k
220,81.13882,29.83617,RCC_H4 gaqble roof,,wh1ytz6m
221,83.08882,29.23617,RCC_H4 gaqble roof,,wh1ytz6q
222,82.93882,28.86117,RCC_H4 gaqble roof,,wh1ytzd2
223,84.06382,29.16117,RCC_H4 gaqble roof,,wh1ytzd7
224,83.23882,28.93617,RCC_H4 gaqble roof,,wh1yvc6r
225,84.58882,27.43617,RCC_H4 gaqble roof,,wh1yvufm
226,87.13882,27.66117,RCC_H4 gaqble roof,,wh1yvvf3
227,81.81382,30.28617,RCC_H4 gaqble roof,,wh1yvzfr
228,82.78882,29.08617,RCC_H4 gaqble roof,,wh1zjb42
229,82.63882,27.73617,RCC_H4 gaqble roof,,wh1zjb4q
230,82.71382,29.16117,RCC_H4 gaqble roof,,wh1zjb4q
231,84.51382,28.48617,RCC_H4 gaqble roof,,wh1zjbdq
232,83.01382,29.16117,RCC_H4 gaqble roof,,wh1zjc43
233,81.36382,28.56117,RCC_H4 gaqble roof,,wh1zjc67
234,83.23882,29.23617,RCC_H4 gaqble roof,,wh1zjcd6
235,84.13882,29.23617,RCC_H4 gaqble roof,,wh1zjcfr
236,82.03882,30.21117,RCC_H4 gaqble roof,,wh1zjf42
237,83.01382,29.01117,RCC_H4 gaqble roof,,wh1yvgdk
238,82.63882,29.31117,RCC_H3 flat roof,,wh1yvgdm
239,83.98882,29.08617,RCC_H3 flat roof,,wh1yvgdr
240,88.03882,27.58617,RCC_H3 flat roof,,wh1yvgf2
241,81.96382,30.28617,RCC_H3 flat roof,,wh1yvzfm
242,82.78882,29.23617,RCC_H3 flat roof,,wh1zjb4q
243,83.31382,29.01117,RCC_H3 flat roof,,wh1zjb4r
244,84.96382,28.41117,RCC_H3 flat roof,,wh1zjbdm
245,82.78882,29.31117,RCC_H3 flat roof,,wh1yvgds
246,83.46382,29.01117,RCC_H3 flat roof,,wh1yvzde
247,81.51382,29.98617,RCC_H3 flat roof,,wh1yvzfd
248,83.16382,29.53617,RCC_H3 flat roof,,wh1yvzfd
249,83.61382,28.93617,RCC_H3 flat roof,,wh1yvzft
250,87.13882,27.73617,RCC_H3 flat roof,,wh1zjb49
251,81.43882,30.06117,RCC_H3 flat roof,,wh1zjb4x
252,83.91382,28.41117,RCC_H3 flat roof,,wh1zjb4x
253,81.51382,30.28617,RCC_H3 flat roof,,wh1zjb6d
254,82.18882,29.98617,RCC_H3 flat roof,,wh1zjb6t
255,82.56382,29.16117,RCC_H3 flat roof,,wh1zjbf9
256,83.68882,28.63617,RCC_H3 flat roof,,wh1zjfds
257,87.58882,27.81117,RCC_H3 flat roof,,wh1ytzdt
258,83.08882,29.31117,RCC_H3 flat roof,,wh1ytzfd
259,87.51382,27.58617,RCC_H3 flat roof,,wh1yvbfs
260,82.93882,29.61117,RCC_H3 flat roof,,wh1yvc4x
261,84.28882,28.48617,RCC_H3 flat roof,,wh1yvzde
262,87.13882,27.81117,RCC_H3 flat roof,,wh1zjb4t
263,81.58882,30.13617,RCC_H3 flat roof,,wh1zjb4w
264,81.96382,30.13617,RCC_H3 flat roof,,wh1zjbd9
265,81.66382,30.13617,RCC_H3 flat roof,,wh1zjbde
266,81.58882,28.33617,RCC_H3 flat roof,,wh1zjbde
267,87.21382,27.73617,RCC_H1 flat roof,,wh1zjbfd
268,81.43882,28.56117,RCC_H1 flat roof,,wh1zjc4x
269,82.86382,29.23617,RCC_H1 flat roof,,wh1zjc6t
270,83.38882,29.01117,RCC_H1 flat roof,,wh1zjf69
271,84.58882,28.41117,RCC_H1 flat roof,,wh1zjbd9
272,80.38882,29.01117,RCC_H1 flat roof,,wh1zjbdc
273,81.96382,28.11117,RCC_H1 flat roof,,wh1ytzdf
274,85.86382,28.11117,RCC_H1 flat roof,,wh1ytzdg
275,81.28882,30.06117,RCC_H1 flat roof,,wh1yvc4z
276,82.86382,29.61117,RCC_H1 flat roof,,wh1yvc6c
277,83.98882,29.31117,RCC_H1 flat roof,,wh1yvffb
278,83.01382,29.31117,RCC_H1 flat roof,,wh1zjbdg
279,83.46382,28.93617,RCC_H1 flat roof,,wh1zjcfz
280,86.76382,27.96117,RCC_H1 flat roof,,wh1zjf6f
281,85.71382,28.18617,RCC_H1 flat roof,,wh1zjgfu
282,84.66382,28.33617,RCC_H1 flat roof,,wh1zjf6c
283,82.86382,29.31117,RCC_H1 flat roof,,wh1ytze5
284,82.63882,29.16117,RCC_H1 flat roof,,wh1ytzej
285,84.13882,28.71117,RCC_H1 flat roof,,wh1yvc5p
286,83.76382,28.71117,RCC_H1 flat roof,,wh1yvc7j
287,87.06382,27.58617,RCC_H1 flat roof,,wh1yvc7p
288,82.86382,29.38617,RCC_H1 flat roof,,wh1yvce1
289,86.83882,27.81117,RCC_H1 flat roof,,wh1yvce5
290,80.83882,28.86117,RCC_H1 flat roof,,wh1yvceh
291,83.08882,29.01117,RCC_H1 flat roof,,wh1yvcg1
292,83.38882,29.08617,RCC_H1 flat roof,,wh1zjb7p
293,81.43882,28.48617,Timber,,wh1zjbe0
294,81.51382,30.36117,Timber,,wh1zjbg4
295,84.06382,29.23617,Timber,,wh1zjf71
296,82.78882,29.16117,Timber,,wh1ytz7k
297,84.21382,28.41117,Timber,,wh1ytzer
298,80.76382,28.86117,Timber,,wh1yvc73
299,83.91382,28.78617,Timber,,wh1yvc7m
300,83.31382,29.16117,Timber,,wh1yvce7
301,81.58882,29.76117,Timber,,wh1yvcek
302,82.71382,27.73617,Timber,,wh1yvceq
303,80.98882,28.86117,Timber,,wh1yvcer
304,81.96382,30.21117,Timber,,wh1zjbe7
305,85.11382,28.41117,Timber,,wh1zjbeq
306,81.36382,29.83617,Timber,,wh1zjf7k
307,83.76382,28.93617,Timber,,wh1ytzem
308,83.01382,29.53617,Timber,,wh1ytzer
309,81.73882,29.91117,Timber,,wh1ytzg6
310,87.43882,27.66117,Timber,,wh1ytzg7
311,88.03882,27.51117,Timber,,wh1yvbek
312,81.73882,30.13617,Timber,,wh1yvc73
313,83.53882,28.93617,Timber,,wh1yvc7r
314,86.53882,27.73617,Timber,,wh1yvce3
315,82.33882,29.98617,Timber,,wh1yvce7
316,81.88882,29.46117,Timber,,wh1yvceq
317,86.61382,27.96117,Timber,,wh1yvz76
318,86.91382,27.66117,Timber,,wh1zjb7m
319,83.31382,29.46117,RCC_H2 gable roof,,wh1zjbem
320,83.31382,29.23617,RCC_H2 gable roof,,wh1zjcek
321,83.53882,29.08617,RCC_H2 gable roof,,wh1zjcem
322,80.68882,28.93617,RCC_H2 gable roof,,wh1yvce7
323,83.53882,29.01117,RCC_H2 gable roof,,wh1zjf73
324,81.13882,28.78617,RCC_H2 gable roof,,wh1yvvee
325,83.98882,28.48617,RCC_H1 flat roof,,wh1ytzee
326,83.23882,29.38617,RCC_H1 flat roof,,wh1ytzet
327,83.01382,29.08617,RCC_H1 flat roof,,wh1ytzg8
328,83.31382,28.71117,RCC_H1 flat roof,,wh1ytzgd
329,86.91382,27.73617,RCC_H1 flat roof,,wh1ytzge
330,83.16382,29.31117,RCC_H1 flat roof,,wh1yvbgw
331,80.61382,28.93617,RCC_H1 flat roof,,wh1yvc78
332,83.91382,29.01117,RCC_H1 flat roof,,wh1yvc79
333,82.03882,30.28617,RCC_H1 flat roof,,wh1yvc7d
334,83.38882,29.31117,RCC_H1 flat roof,,wh1yvc7t
335,80.68882,28.86117,RCC_H3 flat roof,,wh1yvc7x
336,83.46382,28.71117,RCC_H3 flat roof,,wh1yvce9
337,84.13882,28.41117,RCC_H3 flat roof,,wh1yvcee
338,83.08882,29.16117,RCC_H3 flat roof,,wh1yvces
339,84.13882,28.78617,RCC_H3 flat roof,,wh1yvcex
340,85.11382,28.33617,RCC_H3 flat roof,,wh1yvcgd
341,84.06382,29.01117,RCC_H3 flat roof,,wh1yvcgw
342,83.01382,29.61117,RCC_H3 flat roof,,wh1yvz5w
343,86.83882,27.73617,RCC_H3 flat roof,,wh1zjcgx
344,84.36382,28.78617,RCC_H3 flat roof,,wh1ytzeg
345,84.13882,28.56117,MR_H1 flat roof,,wh1ytzev
346,83.16382,29.01117,MR_H1 flat roof,,wh1ytzgg
347,83.01382,29.23617,MR_H1 flat roof,,wh1yvc5f
348,82.86382,28.86117,MR_H1 flat roof,,wh1yvc7f
349,85.03882,28.56117,MR_H1 flat roof,,wh1yvc7v
350,83.31382,28.78617,MR_H1 flat roof,,wh1yvc7z
351,81.88882,28.18617,MR_H1 flat roof,,wh1yvcec
352,83.23882,29.31117,MR_H2 gable roof,,wh1yvceg
353,84.13882,29.16117,MR_H2 gable roof,,wh1yvceu
354,84.21382,28.78617,MR_H2 gable roof,,wh1yvcey
355,86.83882,27.96117,MR_H2 gable roof,,wh1yvcey
356,87.58882,27.73617,MR_H2 gable roof,,wh1yvfey
357,83.31382,28.93617,MR_H2 gable roof,,wh1yvv7z
358,81.96382,30.06117,MR_H2 gable roof,,wh1yvvez
359,82.93882,29.08617,MR_H2 gable roof,,wh1zjbeg
360,80.98882,28.78617,MR_H2 gable roof,,wh1yvv7v
361,84.73882,28.48617,MR_H2 gable roof,,wh1ytzuj
362,87.06382,27.73617,MR_H2 gable roof,,wh1ytzup
363,83.16382,29.23617,MR_H2 gable roof,,wh1yvbh4
364,84.06382,28.41117,MR_H2 gable roof,,wh1yvbh5
365,82.63882,29.76117,MR_H2 gable roof,,wh1yvbhj
366,83.46382,29.08617,MR_H2 gable roof,,wh1yvbu4
367,83.98882,28.41117,MR_H2 gable roof,,wh1yvbuh
368,85.03882,28.33617,MR_H2 gable roof,,wh1yvbun
369,87.06382,27.66117,MR_H2 gable roof,,wh1yvch1
370,81.88882,30.06117,MR_H2 gable roof,,wh1yvfh1
371,83.91382,29.31117,MR_H2 gable roof,,wh1zjbsj
372,83.23882,29.01117,MR_H2 gable roof,,wh1zjcun
373,83.98882,28.78617,RCC_H4 gaqble roof,,wh1yvvk0
374,82.11382,30.13617,RCC_H4 gaqble roof,,wh1ytzu0
375,83.68882,28.93617,RCC_H4 gaqble roof,,wh1yvbh1
376,83.91382,28.86117,RCC_H4 gaqble roof,,wh1yvbh5
377,83.91382,28.71117,RCC_H4 gaqble roof,,wh1yvbk4
378,83.91382,28.48617,RCC_H4 gaqble roof,,wh1yvbs0
379,81.13882,29.83617,RCC_H4 gaqble roof,,wh1yvbsn
380,83.08882,29.23617,RCC_H4 gaqble roof,,wh1yvbu0
381,82.93882,28.86117,RCC_H4 gaqble roof,,wh1yvckj
382,84.06382,29.16117,RCC_H4 gaqble roof,,wh1yvfs5
383,83.23882,28.93617,RCC_H4 gaqble roof,,wh1yvvhh
384,84.58882,27.43617,RCC_H4 gaqble roof,,wh1yvvun
385,87.13882,27.66117,RCC_H4 gaqble roof,,wh1yvzh1
386,81.81382,30.28617,RCC_H4 gaqble roof,,wh1zjbk0
387,82.78882,29.08617,RCC_H4 gaqble roof,,wh1zjbsn
388,82.63882,27.73617,RCC_H4 gaqble roof,,wh1zjbu0
389,82.71382,29.16117,RCC_H4 gaqble roof,,wh1zjcsj
390,84.51382,28.48617,RCC_H4 gaqble roof,,wh1zjgkn
391,83.01382,29.16117,RCC_H4 gaqble roof,,wh1yvbkk
392,81.36382,28.56117,RCC_H4 gaqble roof,,wh1yvbu6
393,83.23882,29.23617,RCC_H4 gaqble roof,,wh1yvvh7
394,84.13882,29.23617,RCC_H4 gaqble roof,,wh1ytzs7
395,82.03882,30.21117,RCC_H4 gaqble roof,,wh1ytzur
396,83.01382,29.01117,RCC_H4 gaqble roof,,wh1yvbh6
397,82.63882,29.31117,RCC_H3 flat roof,,wh1yvbkk
398,83.98882,29.08617,RCC_H3 flat roof,,wh1yvbkm
399,88.03882,27.58617,RCC_H3 flat roof,,wh1yvbkr
400,81.96382,30.28617,RCC_H3 flat roof,,wh1yvbs2
401,82.78882,29.23617,RCC_H3 flat roof,,wh1yvbsq
402,83.31382,29.01117,RCC_H3 flat roof,,wh1yvbsr
403,84.96382,28.41117,RCC_H3 flat roof,,wh1yvbu2
404,82.78882,29.31117,RCC_H3 flat roof,,wh1yvbu6
405,83.46382,29.01117,RCC_H3 flat roof,,wh1yvfh7
406,81.51382,29.98617,RCC_H3 flat roof,,wh1yvuur
407,83.16382,29.53617,RCC_H3 flat roof,,wh1yvys7
408,83.61382,28.93617,RCC_H3 flat roof,,wh1yvyuk
409,87.13882,27.73617,RCC_H3 flat roof,,wh1zjbkm
410,81.43882,30.06117,RCC_H3 flat roof,,wh1zjbs6
411,83.91382,28.41117,RCC_H3 flat roof,,wh1zjcsr
412,81.51382,30.28617,RCC_H3 flat roof,,wh1yvbss
413,82.18882,29.98617,RCC_H3 flat roof,,wh1yvbsw
414,82.56382,29.16117,RCC_H3 flat roof,,wh1yvbsx
415,83.68882,28.63617,RCC_H3 flat roof,,wh1yvbu9
416,87.58882,27.81117,RCC_H3 flat roof,,wh1yvbud
417,83.08882,29.31117,RCC_H3 flat roof,,wh1yvysw
418,87.51382,27.58617,RCC_H3 flat roof,,wh1yvyus
419,82.93882,29.61117,RCC_H3 flat roof,,wh1zjbh9
420,84.28882,28.48617,RCC_H3 flat roof,,wh1zjbsd
421,87.13882,27.81117,RCC_H3 flat roof,,wh1zjcsx
422,81.58882,30.13617,RCC_H3 flat roof,,wh1zjfuw
423,81.96382,30.13617,RCC_H3 flat roof,,wh1yvusz
424,81.66382,30.13617,RCC_H3 flat roof,,wh1yvuuz
